feat_1_,feat_2_,feat_3_,feat_4_,feat_5_,feat_6_,feat_7_,feat_8_,feat_9_,feat_10_,response,joint_prob,feat_comb_id
3,3,3,3,1,1,1,1,1,1,19,9.9000607607138e-06,81
1,1,1,1,2,1,1,1,1,1,4.5,0.000666688957165123,82
2,1,1,1,2,1,1,1,1,1,2.5,0.000455141545580461,83
3,1,1,1,2,1,1,1,1,1,3.5,0.000211547411584662,84
1,2,1,1,2,1,1,1,1,1,3.5,0.000455141545580461,85
2,2,1,1,2,1,1,1,1,1,7.5,0.000310720350602813,86
3,2,1,1,2,1,1,1,1,1,5.5,0.000144421194977648,87
1,3,1,1,2,1,1,1,1,1,5.5,0.000211547411584662,88
2,3,1,1,2,1,1,1,1,1,6.5,0.000144421194977648,89
3,3,1,1,2,1,1,1,1,1,10.5,6.7126216607014e-05,90
1,1,2,1,2,1,1,1,1,1,8.5,0.000455141545580461,91
2,1,2,1,2,1,1,1,1,1,6.5,0.000310720350602813,92
3,1,2,1,2,1,1,1,1,1,7.5,0.000144421194977648,93
1,2,2,1,2,1,1,1,1,1,7.5,0.000310720350602813,94
2,2,2,1,2,1,1,1,1,1,11.5,0.000212125518349692,95
3,2,2,1,2,1,1,1,1,1,9.5,9.85948322531214e-05,96
1,3,2,1,2,1,1,1,1,1,9.5,0.000144421194977648,97
2,3,2,1,2,1,1,1,1,1,10.5,9.85948322531214e-05,98
3,3,2,1,2,1,1,1,1,1,14.5,4.58263627245264e-05,99
1,1,3,1,2,1,1,1,1,1,11.5,0.000211547411584662,100
2,1,3,1,2,1,1,1,1,1,9.5,0.000144421194977648,101
3,1,3,1,2,1,1,1,1,1,10.5,6.7126216607014e-05,102
1,2,3,1,2,1,1,1,1,1,10.5,0.000144421194977648,103
2,2,3,1,2,1,1,1,1,1,14.5,9.85948322531214e-05,104
3,2,3,1,2,1,1,1,1,1,12.5,4.58263627245264e-05,105
1,3,3,1,2,1,1,1,1,1,12.5,6.7126216607014e-05,106
2,3,3,1,2,1,1,1,1,1,13.5,4.58263627245264e-05,107
3,3,3,1,2,1,1,1,1,1,17.5,2.12998538824876e-05,108
1,1,1,2,2,1,1,1,1,1,4.5,0.000455141545580461,109
2,1,1,2,2,1,1,1,1,1,2.5,0.000310720350602813,110
3,1,1,2,2,1,1,1,1,1,3.5,0.000144421194977648,111
1,2,1,2,2,1,1,1,1,1,3.5,0.000310720350602813,112
2,2,1,2,2,1,1,1,1,1,7.5,0.000212125518349692,113
3,2,1,2,2,1,1,1,1,1,5.5,9.85948322531214e-05,114
1,3,1,2,2,1,1,1,1,1,5.5,0.000144421194977648,115
2,3,1,2,2,1,1,1,1,1,6.5,9.85948322531214e-05,116
3,3,1,2,2,1,1,1,1,1,10.5,4.58263627245264e-05,117
1,1,2,2,2,1,1,1,1,1,6.5,0.000310720350602813,118
2,1,2,2,2,1,1,1,1,1,4.5,0.000212125518349692,119
3,1,2,2,2,1,1,1,1,1,5.5,9.85948322531214e-05,120
1,2,2,2,2,1,1,1,1,1,5.5,0.000212125518349692,121
2,2,2,2,2,1,1,1,1,1,9.5,0.000144815862391467,122
3,2,2,2,2,1,1,1,1,1,7.5,6.73096559582247e-05,123
1,3,2,2,2,1,1,1,1,1,7.5,9.85948322531214e-05,124
2,3,2,2,2,1,1,1,1,1,8.5,6.73096559582247e-05,125
3,3,2,2,2,1,1,1,1,1,12.5,3.12851762948968e-05,126
1,1,3,2,2,1,1,1,1,1,10.5,0.000144421194977648,127
2,1,3,2,2,1,1,1,1,1,8.5,9.85948322531214e-05,128
3,1,3,2,2,1,1,1,1,1,9.5,4.58263627245264e-05,129
1,2,3,2,2,1,1,1,1,1,9.5,9.85948322531214e-05,130
2,2,3,2,2,1,1,1,1,1,13.5,6.73096559582247e-05,131
3,2,3,2,2,1,1,1,1,1,11.5,3.12851762948968e-05,132
1,3,3,2,2,1,1,1,1,1,11.5,4.58263627245264e-05,133
2,3,3,2,2,1,1,1,1,1,12.5,3.12851762948968e-05,134
3,3,3,2,2,1,1,1,1,1,16.5,1.45411864296296e-05,135
1,1,1,3,2,1,1,1,1,1,3.5,0.000211547411584662,136
2,1,1,3,2,1,1,1,1,1,1.5,0.000144421194977648,137
3,1,1,3,2,1,1,1,1,1,2.5,6.7126216607014e-05,138
1,2,1,3,2,1,1,1,1,1,2.5,0.000144421194977648,139
2,2,1,3,2,1,1,1,1,1,6.5,9.85948322531214e-05,140
3,2,1,3,2,1,1,1,1,1,4.5,4.58263627245264e-05,141
1,3,1,3,2,1,1,1,1,1,4.5,6.7126216607014e-05,142
2,3,1,3,2,1,1,1,1,1,5.5,4.58263627245264e-05,143
3,3,1,3,2,1,1,1,1,1,9.5,2.12998538824876e-05,144
1,1,2,3,2,1,1,1,1,1,6.5,0.000144421194977648,145
2,1,2,3,2,1,1,1,1,1,4.5,9.85948322531214e-05,146
3,1,2,3,2,1,1,1,1,1,5.5,4.58263627245264e-05,147
1,2,2,3,2,1,1,1,1,1,5.5,9.85948322531214e-05,148
2,2,2,3,2,1,1,1,1,1,9.5,6.73096559582247e-05,149
3,2,2,3,2,1,1,1,1,1,7.5,3.12851762948968e-05,150
1,3,2,3,2,1,1,1,1,1,7.5,4.58263627245264e-05,151
2,3,2,3,2,1,1,1,1,1,8.5,3.12851762948968e-05,152
3,3,2,3,2,1,1,1,1,1,12.5,1.45411864296296e-05,153
1,1,3,3,2,1,1,1,1,1,8.5,6.7126216607014e-05,154
2,1,3,3,2,1,1,1,1,1,6.5,4.58263627245264e-05,155
3,1,3,3,2,1,1,1,1,1,7.5,2.12998538824876e-05,156
1,2,3,3,2,1,1,1,1,1,7.5,4.58263627245264e-05,157
2,2,3,3,2,1,1,1,1,1,11.5,3.12851762948968e-05,158
3,2,3,3,2,1,1,1,1,1,9.5,1.45411864296296e-05,159
1,3,3,3,2,1,1,1,1,1,9.5,2.12998538824876e-05,160
2,3,3,3,2,1,1,1,1,1,10.5,1.45411864296296e-05,161
3,3,3,3,2,1,1,1,1,1,14.5,6.758667452858e-06,162
1,1,1,1,3,1,1,1,1,1,2.5,0.000309873542834877,163
2,1,1,1,3,1,1,1,1,1,0.5,0.000211547411584662,164
3,1,1,1,3,1,1,1,1,1,1.5,9.83261312502153e-05,165
1,2,1,1,3,1,1,1,1,1,1.5,0.000211547411584662,166
2,2,1,1,3,1,1,1,1,1,5.5,0.000144421194977648,167
3,2,1,1,3,1,1,1,1,1,3.5,6.7126216607014e-05,168
1,3,1,1,3,1,1,1,1,1,3.5,9.83261312502153e-05,169
2,3,1,1,3,1,1,1,1,1,4.5,6.7126216607014e-05,170
3,3,1,1,3,1,1,1,1,1,8.5,3.11999146432014e-05,171
1,1,2,1,3,1,1,1,1,1,6.5,0.000211547411584662,172
2,1,2,1,3,1,1,1,1,1,4.5,0.000144421194977648,173
3,1,2,1,3,1,1,1,1,1,5.5,6.7126216607014e-05,174
1,2,2,1,3,1,1,1,1,1,5.5,0.000144421194977648,175
2,2,2,1,3,1,1,1,1,1,9.5,9.85948322531214e-05,176
3,2,2,1,3,1,1,1,1,1,7.5,4.58263627245264e-05,177
1,3,2,1,3,1,1,1,1,1,7.5,6.7126216607014e-05,178
2,3,2,1,3,1,1,1,1,1,8.5,4.58263627245264e-05,179
3,3,2,1,3,1,1,1,1,1,12.5,2.12998538824876e-05,180
1,1,3,1,3,1,1,1,1,1,9.5,9.83261312502153e-05,181
2,1,3,1,3,1,1,1,1,1,7.5,6.7126216607014e-05,182
3,1,3,1,3,1,1,1,1,1,8.5,3.11999146432014e-05,183
1,2,3,1,3,1,1,1,1,1,8.5,6.7126216607014e-05,184
2,2,3,1,3,1,1,1,1,1,12.5,4.58263627245264e-05,185
3,2,3,1,3,1,1,1,1,1,10.5,2.12998538824876e-05,186
1,3,3,1,3,1,1,1,1,1,10.5,3.11999146432014e-05,187
2,3,3,1,3,1,1,1,1,1,11.5,2.12998538824876e-05,188
3,3,3,1,3,1,1,1,1,1,15.5,9.9000607607138e-06,189
1,1,1,2,3,1,1,1,1,1,2.5,0.000211547411584662,190
2,1,1,2,3,1,1,1,1,1,0.5,0.000144421194977648,191
3,1,1,2,3,1,1,1,1,1,1.5,6.7126216607014e-05,192
1,2,1,2,3,1,1,1,1,1,1.5,0.000144421194977648,193
2,2,1,2,3,1,1,1,1,1,5.5,9.85948322531214e-05,194
3,2,1,2,3,1,1,1,1,1,3.5,4.58263627245264e-05,195
1,3,1,2,3,1,1,1,1,1,3.5,6.7126216607014e-05,196
2,3,1,2,3,1,1,1,1,1,4.5,4.58263627245264e-05,197
3,3,1,2,3,1,1,1,1,1,8.5,2.12998538824876e-05,198
1,1,2,2,3,1,1,1,1,1,4.5,0.000144421194977648,199
2,1,2,2,3,1,1,1,1,1,2.5,9.85948322531214e-05,200
3,1,2,2,3,1,1,1,1,1,3.5,4.58263627245264e-05,201
1,2,2,2,3,1,1,1,1,1,3.5,9.85948322531214e-05,202
2,2,2,2,3,1,1,1,1,1,7.5,6.73096559582247e-05,203
3,2,2,2,3,1,1,1,1,1,5.5,3.12851762948968e-05,204
