none,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,other_features,K
-0.0187069970286017,-0.144659760278526,-0.269250125372031,-0.20131903115286,0.391424334094637,0.176156504563532,0.121845595900582,-0.00695804524834367,0.040030926544597,-0.00857757720321973,-0.0102134781197335,-0.0400131318923926,-0.00860246594305759,0,108
-0.0187069970286017,1.07903150445201,0.923048727410469,0.943866220021114,-0.0194814458419812,0.304567125975946,0.0127865443965953,0.0795224414434189,0.00258798087319284,0.025165544562882,-0.0180006540625305,-0.00195588915764894,0.0218958450404155,0,288
-0.0187069970286017,0.085940647714025,-0.131377409534178,-0.296076446872802,-0.0281002746016451,-0.391617757404062,0.208587588398125,0.158684929918783,-0.0157609561130489,-0.0106435988590028,0.00273202116751904,-0.00463668912128899,0.000661911882536836,0,108
-0.0187069970286017,-0.127421622034835,-0.178647989245587,-0.187997373350458,-0.12619791749948,-0.0063092171181408,0.430083233004586,-0.0139267958193561,-0.0652841699161659,-0.0043303899898031,0.0163114645147673,-0.0180495356616509,0.00660526945870068,0,100
-0.0187069970286017,0.480750920425809,0.121801249850447,0.358312559202603,-0.258228219562246,-0.326537886103047,-0.37874222653733,0.0266894972366938,-0.12043777017848,0.00434944063540792,-0.015847992642594,-0.00521265881095182,-0.00396725645178311,0,164
-0.0187069970286017,0.0397257059190119,-0.106252745082511,-0.466354902135672,0.158146274559364,-0.00571954961146104,-0.400454973998156,-0.0735463684313585,0.0160999825015604,0.000858140336087193,0.012100828921064,-0.00642687044615287,-0.0102334475590662,0,108
-0.0187069970286017,-0.107551143510775,-0.0616734642784994,0.184085270277004,-0.0941322379192506,-0.458350329112941,0.629723403621946,-0.161921861211825,-0.0852879571150709,0.035664045639812,-0.00297030144071348,-0.00974226178450773,0.0100226674005499,0,114
-0.0187069970286017,0.323605057859009,0.667627799508205,0.362041096351867,-0.224971827745019,-0.021799907315021,0.178512229059297,-0.00168652550719928,0.150649380797025,-0.00364140357466852,-0.0126711750308723,-0.0260444393801611,-0.0201003201649404,0,130
-0.0187069970286017,-0.996040224472744,-0.947255617042483,-0.937125555866008,-0.300419396129612,0.894292026126314,-0.393945742219727,-0.111044807310446,-0.011349174660701,0.052319989825798,-0.0152695550687442,-0.000421475828666973,-0.0198550313613998,0,252
-0.0187069970286017,-0.0107247486976573,-0.453889659414276,-0.102089260250835,-0.164083901999008,-0.756595740372917,-0.0100712719116783,0.191174756635327,-0.0308691352868284,0.0352122605157135,-0.00462883600569561,-0.014911451118177,0.0020312070372987,0,106
-0.0187069970286017,-0.922957531650049,-0.853919348201554,-0.827871688045948,-0.106307170122209,-0.420944488684714,0.0479750342132689,0.458249381197291,0.193347457204737,-0.0102450804232867,-0.00955764535438869,-0.0232072534205927,-0.0352065446285281,0,252
