rn,absmean_X1,absmean_X2,absmean_X3,absmean_total,abssd_X1,abssd_X2,abssd_X3,abssd_total,h_X_1,h_X_2,h_X_3,h_X_1_2,h_X_1_3,h_X_2_3,comp_time,true_model,fitted_model,variables,notes,rho,pi.G,sd_noise,nTrain,nTest,w_threshold,n_threshold,this.seed,run_indicator,run_date_time
empirical_sigma.01,0.0726944549869779,0.0486368209198783,0.0653827043526205,0.0622379934198256,0.0800124009771395,0.0568210479793516,0.0705944282930561,0.0702890970180801,0.1,0.1,0.1,0.1,0.1,0.1,1.83699999999953,Linear,Linear,Gaussian,All var equal contribution,0.12,1,0.1,2000,100,1,1000,1235,Mm4LF,2018-12-21T13:20:15.529629Z
empirical_AIC_each_k,0.0366467895231696,0.0314688769128894,0.0253699098680647,0.0311618587680412,0.0336131281937001,0.0330899943494507,0.024214928452054,0.0308560512747708,0.531302182374967,0.531302182374967,0.531302182374967,0.347417839319423,0.347417839319423,0.347417839319423,1134.291,Linear,Linear,Gaussian,All var equal contribution,0.12,1,0.1,2000,100,1,1000,1235,Mm4LF,2018-12-21T13:20:15.529629Z
empirical_AIC_full,0.0362576380559506,0.0311697689421818,0.0253503220540544,0.0309259096840623,0.0336751135451165,0.0327307485971937,0.0243310081757043,0.0307591462086262,0.526301789372827,0.540625180218223,0.526071896528104,0.283254882310011,0.369050623443256,0.366489613065229,1308.836,Linear,Linear,Gaussian,All var equal contribution,0.12,1,0.1,2000,100,1,1000,1235,Mm4LF,2018-12-21T13:20:15.529629Z
empirical_independence,0.104495825379756,0.102521782215756,0.111521258938202,0.106179622177905,0.0785200141693715,0.0810466216101534,0.0820133327755354,0.0803634739534216,Inf,Inf,Inf,Inf,Inf,Inf,1.90499999999884,Linear,Linear,Gaussian,All var equal contribution,0.12,1,0.1,2000,100,1,1000,1235,Mm4LF,2018-12-21T13:20:15.529629Z
Gaussian,0.0274427992092386,0.0228929541306406,0.020796676874861,0.02371081007158,0.017878232524634,0.0162936948022644,0.0145091749502774,0.0164668952521299,,,,,,,1.73199999999997,Linear,Linear,Gaussian,All var equal contribution,0.12,1,0.1,2000,100,1,1000,1235,Mm4LF,2018-12-21T13:20:15.529629Z
copula,0.0333038782266537,0.0279469138543536,0.0224213872549203,0.0278907264453092,0.0204757526944967,0.0180503001202122,0.0186484739123488,0.0195358006743751,,,,,,,4.46200000000135,Linear,Linear,Gaussian,All var equal contribution,0.12,1,0.1,2000,100,1,1000,1235,Mm4LF,2018-12-21T13:20:15.529629Z
