rn,absmean_X1,absmean_X2,absmean_X3,absmean_total,abssd_X1,abssd_X2,abssd_X3,abssd_total,h_X_1,h_X_2,h_X_3,h_X_1_2,h_X_1_3,h_X_2_3,comp_time,true_model,fitted_model,variables,notes,rho,pi.G,sd_noise,nTrain,nTest,w_threshold,n_threshold,this.seed,run_indicator,run_date_time
empirical_sigma.01,0.0720789132235121,0.0517666412183371,0.0671220614629366,0.0636558719682619,0.0888663931679014,0.0545007865827582,0.0786171385866802,0.0756290447234137,0.1,0.1,0.1,0.1,0.1,0.1,1.8739999999998,Linear,Linear,Gaussian,All var equal contribution,0.08,1,0.1,2000,100,1,1000,1235,5HnaW,2018-12-21T12:37:22.025494Z
empirical_AIC_each_k,0.0327520265118608,0.0273555255401192,0.0220388492326075,0.0273821337615292,0.0272494785457491,0.0279521608386336,0.0183803473051221,0.0252112462555031,0.658917201678347,0.658917201678347,0.658917201678347,0.411209242017296,0.411209242017296,0.411209242017296,1178.65,Linear,Linear,Gaussian,All var equal contribution,0.08,1,0.1,2000,100,1,1000,1235,5HnaW,2018-12-21T12:37:22.025494Z
empirical_AIC_full,0.0326348025846254,0.0273147659976274,0.0217231586890368,0.0272242424237632,0.0271514213479296,0.0276939690188555,0.0183681391620603,0.0250929574402265,0.668366711037138,0.67310382615906,0.64355999292333,0.350009494416313,0.433781477388705,0.431295447485277,1331.992,Linear,Linear,Gaussian,All var equal contribution,0.08,1,0.1,2000,100,1,1000,1235,5HnaW,2018-12-21T12:37:22.025494Z
empirical_independence,0.0735722757254333,0.0704303973026363,0.07826261247763,0.0740884285018998,0.0562524131146361,0.0561513027385427,0.057398309416654,0.0565059011779231,Inf,Inf,Inf,Inf,Inf,Inf,1.9320000000007,Linear,Linear,Gaussian,All var equal contribution,0.08,1,0.1,2000,100,1,1000,1235,5HnaW,2018-12-21T12:37:22.025494Z
Gaussian,0.0271408342202165,0.0227796013661197,0.0208129438659798,0.023577793150772,0.0177353569576945,0.0160736780331651,0.0146779858678942,0.0163719573405766,,,,,,,1.77399999999943,Linear,Linear,Gaussian,All var equal contribution,0.08,1,0.1,2000,100,1,1000,1235,5HnaW,2018-12-21T12:37:22.025494Z
copula,0.0324818237793827,0.0275078695840298,0.0222154283634918,0.0274017072423014,0.0206193044575809,0.0184096547770149,0.0187010672917162,0.0196574286299623,,,,,,,4.54399999999987,Linear,Linear,Gaussian,All var equal contribution,0.08,1,0.1,2000,100,1,1000,1235,5HnaW,2018-12-21T12:37:22.025494Z
