rn,absmean_X1,absmean_X2,absmean_X3,absmean_total,abssd_X1,abssd_X2,abssd_X3,abssd_total,h_X_1,h_X_2,h_X_3,h_X_1_2,h_X_1_3,h_X_2_3,comp_time,true_model,fitted_model,variables,notes,rho,pi.G,sd_noise,nTrain,nTest,w_threshold,n_threshold,this.seed
empirical_sigma.0001,0.219146711670946,0.218034239654756,0.220029734102353,0.219070228476019,0.166285977953831,0.173213344117605,0.172028613048404,0.170481229311013,0.001,0.001,0.001,0.001,0.001,0.001,16.5519999999997,Linear,Linear,Gaussian,All var equal contribution,0.9,1,0.1,2000,1000,1,1000,123
empirical_sigma.001,0.128356704576453,0.127498204571478,0.126911402139005,0.127588770428978,0.104629916555747,0.105573916405271,0.108064518315353,0.106065619373731,0.01,0.01,0.01,0.01,0.01,0.01,17.1120000000001,Linear,Linear,Gaussian,All var equal contribution,0.9,1,0.1,2000,1000,1,1000,123
empirical_sigma.01,0.029444671205255,0.0393016718700604,0.0446391330207039,0.0377951586986731,0.0357586848861219,0.036163458172107,0.0349076280756485,0.0361541332678812,0.1,0.1,0.1,0.1,0.1,0.1,18.9710000000005,Linear,Linear,Gaussian,All var equal contribution,0.9,1,0.1,2000,1000,1,1000,123
empirical_sigma.02,0.0223931334649309,0.031127417463542,0.0375699063163427,0.0303634857482719,0.0214214483954497,0.0223244904393905,0.0276273335243509,0.0247350276443704,0.2,0.2,0.2,0.2,0.2,0.2,18.8989999999994,Linear,Linear,Gaussian,All var equal contribution,0.9,1,0.1,2000,1000,1,1000,123
empirical_sigma.03,0.0302564112068117,0.0364863860618578,0.0407709910016974,0.0358379294234557,0.0245861707472098,0.0267327313711581,0.0311924950602262,0.0279671800359966,0.3,0.3,0.3,0.3,0.3,0.3,19.4060000000009,Linear,Linear,Gaussian,All var equal contribution,0.9,1,0.1,2000,1000,1,1000,123
empirical_independence,0.241466477196053,0.237953613663922,0.234644252375461,0.238021447745145,0.181118931523935,0.173775099892196,0.173691293433801,0.176192763532231,Inf,Inf,Inf,Inf,Inf,Inf,19.3859999999995,Linear,Linear,Gaussian,All var equal contribution,0.9,1,0.1,2000,1000,1,1000,123
Gaussian,0.0172426138074436,0.0190244589314887,0.0285992908850518,0.0216221212079947,0.0101323304912139,0.0146159455140432,0.0181326560734032,0.0154842577137977,,,,,,,16.8760000000002,Linear,Linear,Gaussian,All var equal contribution,0.9,1,0.1,2000,1000,1,1000,123
copula,0.0208075991820894,0.0361601731173242,0.0425336365768978,0.0331671362921038,0.0168918414096343,0.0252647104568822,0.0267532480969779,0.025085280106777,,,,,,,43.5079999999998,Linear,Linear,Gaussian,All var equal contribution,0.9,1,0.1,2000,1000,1,1000,123
