rn,absrelmean_X1,absrelmean_X2,absrelmean_X3,absrelmean_total,absmean_X1,absmean_X2,absmean_X3,absmean_total,abssd_X1,abssd_X2,abssd_X3,abssd_total,h_X_1,h_X_2,h_X_3,h_X_1_2,h_X_1_3,h_X_2_3,comp_time,true_model,fitted_model,variables,notes,X_dim,X_GenHyp,rho,pi.G,sd_noise,nTrain,nTest,w_threshold,n_threshold,this.seed,run_indicator,run_date_time
empirical_sigma.01,0.638090980998445,0.217017083477898,1.53330052996744,0.796136198147929,0.073143961915431,0.0613325307335388,0.0608970423827635,0.0651245116772445,0.0976348691105188,0.055499161219572,0.0732924924888367,0.07737592522578,0.1,0.1,0.1,0.1,0.1,0.1,1.919,Linear,Linear,Gaussian,All var equal contribution,3,FALSE,0,1,0.1,2000,100,1,1000,1235,FPxiE,2018-12-22T23:01:31.349940Z
empirical_AIC_each_k,0.186438613514863,0.0325674458807318,0.746585078290745,0.321863712562113,0.0205452752701683,0.0110266291191485,0.0205082471030526,0.0173600504974565,0.0140590288927262,0.00817872613378774,0.0117943159049016,0.0124005910676854,18.6954376297852,18.6954376297852,18.6954376297852,21.7400380556921,21.7400380556921,21.7400380556921,2822.459,Linear,Linear,Gaussian,All var equal contribution,3,FALSE,0,1,0.1,2000,100,1,1000,1235,FPxiE,2018-12-22T23:01:31.349940Z
empirical_AIC_full,0.18645255841531,0.0325556928991788,0.74659243996754,0.32186689709401,0.0205485986171512,0.0110306372012305,0.0205044862757712,0.017361240698051,0.0140593844405404,0.00818118272559242,0.0117880427041029,0.012398567945225,22.7808340837135,11.8850139953947,13.5454487508319,18.9486152965714,20.1825533812067,17.0874765146818,3106.037,Linear,Linear,Gaussian,All var equal contribution,3,FALSE,0,1,0.1,2000,100,1,1000,1235,FPxiE,2018-12-22T23:01:31.349940Z
empirical_independence,0.16152115042817,0.0414667245577302,0.279372572393811,0.160786815793237,0.0228381676796063,0.0151095724372419,0.0162507258304878,0.0180661553157787,0.0136837105807065,0.0125752013344606,0.0112788004200133,0.0129660519139033,Inf,Inf,Inf,Inf,Inf,Inf,2.39199999999983,Linear,Linear,Gaussian,All var equal contribution,3,FALSE,0,1,0.1,2000,100,1,1000,1235,FPxiE,2018-12-22T23:01:31.349940Z
Gaussian,0.172383394228744,0.0768773224934965,0.469538299843101,0.239599672188447,0.0264204639978238,0.0225189152462551,0.0209486641972698,0.0232960144804495,0.0172179063113323,0.0160531162038093,0.0151138503568401,0.0162612200365864,,,,,,,1.98500000000058,Linear,Linear,Gaussian,All var equal contribution,3,FALSE,0,1,0.1,2000,100,1,1000,1235,FPxiE,2018-12-22T23:01:31.349940Z
copula,0.257491201536841,0.0719355462481356,0.289466861255006,0.206297869679994,0.031131825244883,0.026262040607582,0.0229312740318309,0.0267750466280986,0.020473683698761,0.0186582755635459,0.0182813560408495,0.0193930919264631,,,,,,,5.67699999999968,Linear,Linear,Gaussian,All var equal contribution,3,FALSE,0,1,0.1,2000,100,1,1000,1235,FPxiE,2018-12-22T23:01:31.349940Z
