rn,absmean_X1,absmean_X2,absmean_X3,absmean_total,abssd_X1,abssd_X2,abssd_X3,abssd_total,h_X_1,h_X_2,h_X_3,h_X_1_2,h_X_1_3,h_X_2_3,comp_time,true_model,fitted_model,variables,notes,rho,pi.G,sd_noise,nTrain,nTest,w_threshold,n_threshold,this.seed
empirical_sigma.01,0.0704806541079617,0.0647009825801676,0.0505374895957519,0.0619063754279604,0.0651082918471338,0.0496007347535654,0.0334457708179037,0.050882465705447,0.1,0.1,0.1,0.1,0.1,0.1,0.47199999999998,Linear,Linear,Gaussian,Testing full AICc,0.5,1,0.1,2000,20,1,1000,123
empirical_AIC_each_k,0.0453502309575695,0.0296905598524939,0.0410948296924435,0.0387118735008356,0.0394456148393241,0.0249438339838078,0.0422922356591136,0.03635780624799,0.225510083441123,0.225510083441123,0.225510083441123,0.179882019415363,0.179882019415363,0.179882019415363,244.394,Linear,Linear,Gaussian,Testing full AICc,0.5,1,0.1,2000,20,1,1000,123
empirical_AIC_full,0.0472479885513568,0.0296369954976163,0.0425637323450552,0.0398162387980094,0.0390756668358529,0.023811626019538,0.0455971443110441,0.0374199594114908,0.256051271369711,0.242240154041067,0.166351951056676,0.186344115998579,0.182748480142674,0.172054965906187,225.088,Linear,Linear,Gaussian,Testing full AICc,0.5,1,0.1,2000,20,1,1000,123
empirical_independence,0.304980474609512,0.201210187224905,0.289556144889683,0.2652489355747,0.21190570276044,0.151156020373428,0.226984247885601,0.201335131818079,Inf,Inf,Inf,Inf,Inf,Inf,0.37399999999991,Linear,Linear,Gaussian,Testing full AICc,0.5,1,0.1,2000,20,1,1000,123
Gaussian,0.0356254090040162,0.0258777408128365,0.0520648839501272,0.03785601125566,0.0156986664855413,0.0161461997110603,0.0337051341776608,0.0254543218580601,,,,,,,0.309000000000083,Linear,Linear,Gaussian,Testing full AICc,0.5,1,0.1,2000,20,1,1000,123
copula,0.0265313588192406,0.0284352366039629,0.0434047747826747,0.0327904567352927,0.0238079975510791,0.0187329715162514,0.035116990282502,0.0273967001208648,,,,,,,0.845000000000027,Linear,Linear,Gaussian,Testing full AICc,0.5,1,0.1,2000,20,1,1000,123
