none,group1,group2,group3,group1_rank,group2_rank,group3_rank,correlation,pre_grouped,test_id,model_type,grouping,No_test_obs,response,joint_prob
8.36239998079898,-3.31631751136214,1.97695875742655,-1.02304124222422,3,1,2,0,1,1,experiment_lm1,A,100,6,0.000144421194977648
8.36239998079898,-3.31631751136214,0.976958757542951,-0.0230412423406414,3,1,2,0,1,2,experiment_lm1,A,100,15,0.000455141545580461
8.36239998079898,-3.31631751181036,-5.02304124182551,0.976958757476017,2,3,1,0,1,3,experiment_lm1,A,100,9,9.85948322531214e-05
8.36239998079897,-4.31631751133808,-0.0230412424108812,-0.0230412424108819,3,1,2,0,1,4,experiment_lm1,A,100,13,0.000310720350602813
8.36239998079898,-4.31631751196559,-5.02304124192249,-2.02304124227174,2,3,1,0,1,5,experiment_lm1,A,100,9,3.12851762948968e-05
8.36239998079897,-4.3163175117863,-5.02304124189575,-0.0230412424778118,2,3,1,0,1,6,experiment_lm1,A,100,9,9.85948322531214e-05
8.36239998079897,-4.3163175117863,-4.02304124201216,-1.02304124236139,3,2,1,0,1,7,experiment_lm1,A,100,9,6.73096559582247e-05
8.36239998079898,-5.3163175108658,3.97695875712016,-0.0230412424141946,3,1,2,0,1,8,experiment_lm1,A,100,4,9.83261312502153e-05
8.36239998079898,-5.31631751095544,2.97695875722317,-0.0230412424275726,3,1,2,0,1,9,experiment_lm1,A,100,10,9.85948322531214e-05
8.36239998079898,-5.31631751158295,-3.02304124217203,-1.02304124240486,3,2,1,0,1,10,experiment_lm1,A,100,4,2.13580611161823e-05
8.36239998079898,-5.31631751140366,-3.02304124214526,0.976958757389078,3,2,1,0,1,11,experiment_lm1,A,100,4,1.45411864296296e-05
8.36239998079898,-5.31631751104508,0.976958757442628,0.976958757442621,3,1,2,0,1,12,experiment_lm1,A,100,6,9.92711517871451e-06
8.36239998079898,-0.316317511613682,2.97695875749407,-1.02304124204027,2,1,3,0,1,13,experiment_lm1,A,100,-1,0.000310720350602813
8.36239998079897,-0.316317511703325,2.97695875748068,-2.02304124193723,2,1,3,0,1,14,experiment_lm1,A,100,6,0.000144421194977648
8.36239998079897,-0.316317512061901,-3.02304124187439,-0.0230412422236193,2,3,1,0,1,15,experiment_lm1,A,100,10,0.000455141545580461
8.36239998079898,-0.316317512061901,-2.0230412419908,-1.02304124210719,1,3,2,0,1,16,experiment_lm1,A,100,14,4.59515948420424e-05
8.36239998079898,-0.316317511882612,-1.02304124208042,-0.0230412421968467,2,3,1,0,1,17,experiment_lm1,A,100,12,0.000144421194977648
8.36239998079897,-1.31631751105176,7.97695875692208,-1.0230412420302,3,1,2,0,1,18,experiment_lm1,A,100,4,6.73096559582247e-05
8.36239998079897,-1.3163175119482,-4.0230412418148,0.976958757603117,2,3,1,0,1,19,experiment_lm1,A,100,14,3.12851762948968e-05
8.36239998079897,-2.31631751129662,2.97695875739374,-0.0230412422570145,3,1,2,0,1,20,experiment_lm1,A,100,3,0.000144421194977648
