none,group1,group2,group3,group4,group5,group1_rank,group2_rank,group3_rank,group4_rank,group5_rank,correlation,pre_grouped,test_id,model_type,grouping,No_test_obs,response,joint_prob
8.36239997870989,-1.98979050651779,-1.33113525231116,1.2794515253103,0.692898985972976,-1.01382474443598,5,4,1,2,3,0,1,1,experiment_lm1,B,100,6,0.000144421194977648
8.36239997870989,-1.98979050651779,-1.33113525231116,1.2794515253103,-0.307101014065845,-0.0138247443971786,5,4,1,3,2,0,1,2,experiment_lm1,B,100,15,0.000455141545580461
8.36239997870989,-1.98979050699962,-1.3311352521422,-3.72054847471477,-1.30710101393569,0.986175255810593,4,3,5,2,1,0,1,3,experiment_lm1,B,100,9,9.85948322531214e-05
8.36239997870989,-1.98979050671053,-2.33113525228239,1.27945152537789,-1.30710101403707,-0.0138247443295935,4,5,1,3,2,0,1,4,experiment_lm1,B,100,13,0.000310720350602813
8.36239997870989,-1.98979050738509,-2.33113525204584,-4.72054847461838,-0.307101013761709,-2.01382474417064,2,4,5,1,3,0,1,5,experiment_lm1,B,100,9,3.12851762948968e-05
8.36239997870989,-1.98979050719236,-2.33113525211342,-3.72054847464719,-1.30710101386811,-0.0138247441606289,3,4,5,2,1,0,1,6,experiment_lm1,B,100,9,9.85948322531214e-05
8.36239997870989,-1.98979050719236,-2.33113525211342,-3.72054847464719,-0.307101013829295,-1.01382474419943,3,4,5,1,2,0,1,7,experiment_lm1,B,100,9,6.73096559582247e-05
8.36239997870989,-1.98979050642143,-3.33113525242257,3.27945152535412,0.692898985939182,-0.0138247444309711,4,5,1,2,3,0,1,8,experiment_lm1,B,100,4,9.83261312502153e-05
8.36239997870989,-1.98979050651779,-3.33113525238878,3.27945152538791,-0.307101014065845,-0.0138247443971702,4,5,1,3,2,0,1,9,experiment_lm1,B,100,10,9.85948322531214e-05
8.36239997870989,-1.98979050719236,-3.33113525215223,-4.72054847468597,1.69289898624831,-1.01382474419943,3,4,5,1,2,0,1,10,experiment_lm1,B,100,4,2.13580611161823e-05
8.36239997870989,-1.98979050699962,-3.33113525221981,-3.72054847471477,0.69289898614194,0.986175255810594,3,4,5,2,1,0,1,11,experiment_lm1,B,100,4,1.45411864296296e-05
8.36239997870989,-1.98979050661416,-3.33113525235499,-3.72054847484994,4.69289898616199,0.986175255675422,3,4,5,1,2,0,1,12,experiment_lm1,B,100,6,9.92711517871451e-06
8.36239997870989,-1.98979050613233,1.66886474767003,3.27945152525274,-0.307101014201016,-1.01382474457115,5,2,1,3,4,0,1,13,experiment_lm1,B,100,-1,0.000310720350602813
8.36239997870989,-1.98979050622869,1.66886474770382,3.27945152528653,-0.307101014167224,-2.01382474457616,4,2,1,3,5,0,1,14,experiment_lm1,B,100,6,0.000144421194977648
8.36239997870989,-1.98979050661416,1.66886474783899,0.279451525305268,-3.30710101414846,-0.0138247443633862,4,1,2,5,3,0,1,15,experiment_lm1,B,100,10,0.000455141545580461
8.36239997870989,-1.98979050661416,1.66886474783899,-1.72054847477234,-0.307101014032052,-1.01382474440218,5,1,4,2,3,0,1,16,experiment_lm1,B,100,14,4.59515948420424e-05
8.36239997870989,-1.98979050642142,1.66886474777141,-0.720548474801094,-0.307101014099638,-0.0138247444309723,5,1,4,3,2,0,1,17,experiment_lm1,B,100,12,0.000144421194977648
8.36239997870989,-1.98979050574686,0.668864747496047,3.27945152511756,4.69289898585786,-1.01382474470632,5,3,2,1,4,0,1,18,experiment_lm1,B,100,4,6.73096559582247e-05
8.36239997870989,-1.98979050671052,0.668864747833976,-0.720548474699717,-3.30710101411467,0.986175255709218,4,2,3,5,1,0,1,19,experiment_lm1,B,100,14,3.12851762948968e-05
8.36239997870989,-1.98979050622869,-0.331135252373794,3.27945152528653,-0.307101014167223,-0.0138247444985573,5,4,1,3,2,0,1,20,experiment_lm1,B,100,3,0.000144421194977648
8.36239997870988,-1.98979050574686,4.66886474765118,0.279451525001132,1.69289898574141,0.986175255371285,5,1,4,2,3,0,1,21,experiment_lm1,B,100,4,6.73096559582247e-05
8.36239997870989,-1.98979050632506,4.66886474785393,-1.72054847487372,-0.307101014133431,-1.01382474450356,5,1,4,2,3,0,1,22,experiment_lm1,B,100,9,6.73096559582247e-05
8.36239997870989,-1.98979050613233,4.66886474778635,-1.7205484749413,-0.307101014201018,0.986175255506457,5,1,4,3,2,0,1,23,experiment_lm1,B,100,7,6.73096559582247e-05
8.36239997870989,-1.98979050593959,3.66886474767995,1.27945152510755,0.692898985770219,-0.0138247445999355,5,1,2,3,4,0,1,24,experiment_lm1,B,100,10,4.58263627245264e-05
8.36239997870989,0.0102094940914768,-1.33113525250229,0.279451525080353,4.69289898593708,-0.0138247445883009,3,5,2,1,4,0,1,25,experiment_lm1,B,100,6,9.85948322531214e-05
8.36239997870989,0.0102094936096435,-1.33113525233332,1.27945152528815,-1.30710101412681,-0.013824744419326,2,5,1,4,3,0,1,26,experiment_lm1,B,100,17,3.12851762948968e-05
8.36239997870989,0.0102094938987434,-1.3311352524347,1.27945152518677,1.69289898588822,-0.0138247445207151,3,5,2,1,4,0,1,27,experiment_lm1,B,100,6,0.000212125518349692
8.36239997870989,0.0102094938987427,-1.3311352524347,1.27945152518677,2.69289898592706,-1.01382474455951,3,5,2,1,4,0,1,28,experiment_lm1,B,100,10,3.12851762948968e-05
8.36239997870989,0.0102094942842084,-1.33113525256987,1.2794515250516,4.69289898586949,0.986175255382921,4,5,2,1,3,0,1,29,experiment_lm1,B,100,11,6.73096559582247e-05
8.36239997870988,0.0102094935132777,-1.33113525229953,-1.7205484747945,-0.307101014054209,0.986175255653267,2,4,5,3,1,0,1,30,experiment_lm1,B,100,5,4.59515948420424e-05
8.36239997870989,0.0102094936096437,-2.33113525237213,3.27945152536575,-3.30710101420442,0.986175255619474,3,4,1,5,2,0,1,31,experiment_lm1,B,100,6,9.85948322531214e-05
8.36239997870989,0.0102094935132773,-2.33113525233834,1.27945152532194,-3.30710101417062,1.98617525569207,3,4,2,5,1,0,1,32,experiment_lm1,B,100,12,9.85948322531214e-05
8.36239997870989,0.0102094933205443,-3.33113525230956,3.27945152546713,-3.30710101410304,-1.01382474435676,2,5,1,4,3,0,1,33,experiment_lm1,B,100,12,0.000144421194977648
8.36239997870989,0.0102094942842084,1.66886474754649,3.2794515251292,1.69289898575305,-1.01382474469469,4,3,1,2,5,0,1,34,experiment_lm1,B,100,11,0.000144815862391467
8.36239997870989,0.0102094937060098,1.66886474774925,0.279451525215525,-3.30710101423821,0.986175255585678,4,1,3,5,2,0,1,35,experiment_lm1,B,100,1,0.000212125518349692
8.36239997870989,0.0102094935132777,0.668864747778025,-2.72054847483328,1.69289898602339,-2.01382474446314,3,2,5,1,4,0,1,36,experiment_lm1,B,100,7,1.45809238964393e-05
8.36239997870989,0.0102094934169112,0.668864747811818,-0.720548474721874,-3.30710101413683,-0.0138247443517432,2,1,4,5,3,0,1,37,experiment_lm1,B,100,6,4.59515948420424e-05
