correlation,pre_grouped,standardized,group1,group2,group3,group1_rank,group2_rank,group3_rank,test_id,model_type,grouping,No_test_obs,MAD,MDR
0,1,0,1.21029834555719,-0.825223045723232,2.15106294797183,2,3,1,1,experiment1,A,100,1.14916828668131,2
0,1,0,1.34835183880735,2.03670058504231,1.72541198085998,3,1,2,2,experiment1,A,100,1.14916828668131,2
0,1,0,1.83050187221791,-1.96573623035814,-1.93016400138441,1,3,2,3,experiment1,A,100,1.14916828668131,2
0,1,0,-0.00740882586818159,2.40265856373412,-0.0597321363830598,2,1,3,4,experiment1,A,100,1.14916828668131,2
0,1,0,3.42991133700572,0.719202157788039,0.0849990772643359,1,2,3,5,experiment1,A,100,1.14916828668131,2
0,1,0,-0.338919034154021,0.346703856264088,-2.27753199798901,2,1,3,6,experiment1,A,100,1.14916828668131,2
0,1,0,-2.09124463450506,-0.191522728282799,0.631134018112624,3,2,1,7,experiment1,A,100,1.14916828668131,2
0,1,0,-0.136551611746208,1.61688595883282,-2.80016875814172,2,1,3,8,experiment1,A,100,1.14916828668131,2
0,1,0,0.296123310917276,1.21545246617243,-1.57408619331968,2,1,3,9,experiment1,A,100,1.14916828668131,2
0,1,0,-0.741583117358619,0.308989761328262,1.95058785210557,3,2,1,10,experiment1,A,100,1.14916828668131,2
0,1,0,-5.27474578390461,1.03806283399946,-0.618417821620627,3,1,2,11,experiment1,A,100,1.14916828668131,2
0,1,0,1.47989376915448,1.55645091165912,-0.799071323823199,2,1,3,12,experiment1,A,100,1.14916828668131,2
0,1,0,1.31041349959562,1.69799201096327,-2.74037750295136,2,1,3,13,experiment1,A,100,1.14916828668131,2
0,1,0,-0.411286731053493,1.68690465383689,-2.32379272311947,2,1,3,14,experiment1,A,100,1.14916828668131,2
0,1,0,-0.369731529665009,0.0162220182038833,1.0664544273734,3,2,1,15,experiment1,A,100,1.14916828668131,2
0,1,0,0.0427757893818816,-2.55428715038776,-0.134966698578266,1,3,2,16,experiment1,A,100,1.14916828668131,2
0,1,0,-0.472389958059652,0.798434363744985,-1.16275403261366,2,1,3,17,experiment1,A,100,1.14916828668131,2
0,1,0,-0.838356386134552,0.0652441374281818,-1.87244455138737,2,1,3,18,experiment1,A,100,1.14916828668131,2
0,1,0,-1.27388719780922,-1.68398826956576,-1.42141764926264,1,3,2,19,experiment1,A,100,1.14916828668131,2
0,1,0,-0.709782316079262,1.65115917140592,3.1184121428205,3,2,1,20,experiment1,A,100,1.14916828668131,2
0,1,0,-2.19666569677343,2.83357700167543,-0.224054700645008,3,1,2,21,experiment1,A,100,1.14916828668131,2
0,1,0,-1.54551733864092,1.16706905568423,1.27683363781051,3,2,1,22,experiment1,A,100,1.14916828668131,2
0,1,0,0.517929480788477,0.315771031602318,0.48715374187004,1,3,2,23,experiment1,A,100,1.14916828668131,2
0,1,0,2.38012498992864,-0.166977737745733,1.04583297962453,1,3,2,24,experiment1,A,100,1.14916828668131,2
0,1,0,1.14396207080566,-0.796509114467475,0.133602140457522,1,3,2,25,experiment1,A,100,1.14916828668131,2
0,1,0,-0.65562170148749,-0.940270721356938,-1.88924245631175,1,2,3,26,experiment1,A,100,1.14916828668131,2
0,1,0,2.60947456824461,0.407981059339062,-1.34734311914381,1,2,3,27,experiment1,A,100,1.14916828668131,2
0,1,0,1.79399454538109,-2.23665422763287,0.995109875720985,1,3,2,28,experiment1,A,100,1.14916828668131,2
0,1,0,-1.29882196448021,-1.4417704452622,-1.46504101572248,1,2,3,29,experiment1,A,100,1.14916828668131,2
0,1,0,1.19796115813846,-0.334645562727646,0.395605426374853,1,3,2,30,experiment1,A,100,1.14916828668131,2
0,1,0,1.46739070053372,-1.2631729674055,-0.717211816802827,1,3,2,31,experiment1,A,100,1.14916828668131,2
0,1,0,-1.05273296047916,1.63461484098315,0.360526949295168,3,1,2,32,experiment1,A,100,1.14916828668131,2
0,1,0,0.580681048785552,-1.54746363543641,-0.869609388418716,1,3,2,33,experiment1,A,100,1.14916828668131,2
0,1,0,-1.87740474145682,0.521296728500695,-0.156341086571597,3,1,2,34,experiment1,A,100,1.14916828668131,2
0,1,0,0.224716974742674,-0.00661833956249308,0.782059258320503,2,3,1,35,experiment1,A,100,1.14916828668131,2
0,1,0,-0.277712678334066,0.629995347557842,0.746682214461038,3,2,1,36,experiment1,A,100,1.14916828668131,2
