none,group1,group2,group3,group1_rank,group2_rank,group3_rank,correlation,pre_grouped,test_id,model_type,grouping,No_test_obs,response,joint_prob
16.5871999998202,-1.63483683546279,1.365163163824,0.682473671676991,3,1,2,0,1,1,experiment_lm1,A,100,17,3.12851762948968e-05
16.5871999998202,0.365163164059966,1.36516316393878,-0.317526327960709,2,1,3,0,1,2,experiment_lm1,A,100,26,1.45411864296296e-05
16.5871999998202,0.365163164988453,3.36516316372934,2.68247367132026,3,1,2,0,1,3,experiment_lm1,A,100,22,9.99521105918246e-07
16.5871999998202,-0.634836835647032,3.36516316367593,-0.317526327990795,3,1,2,0,1,4,experiment_lm1,A,100,23,6.758667452858e-06
16.5871999998202,-0.634836835736675,2.36516316377898,-0.317526328004184,3,1,2,0,1,5,experiment_lm1,A,100,22,1.45411864296296e-05
16.5871999998202,1.36516316437529,3.36516316378856,0.682473671874329,2,1,3,0,1,6,experiment_lm1,A,100,22,1.46409329194354e-06
16.5871999998202,-1.63483683607118,-2.63483683576274,-0.317526328127966,2,3,1,0,1,7,experiment_lm1,A,100,21,0.000455141545580461
16.5871999998202,-1.6348368357126,1.36516316382519,-0.317526328074418,3,1,2,0,1,8,experiment_lm1,A,100,20,6.73096559582247e-05
16.5871999998202,-1.63483683605198,0.365163163929387,-1.31752632783918,3,1,2,0,1,9,experiment_lm1,A,100,18,0.000144421194977648
16.5871999998202,-0.634836835646969,3.36516316367599,-0.317526327990796,3,1,2,0,1,10,experiment_lm1,A,100,20,1.45809238964393e-05
16.5871999998202,0.365163164399359,2.36516316383466,0.68247367180409,3,1,2,0,1,11,experiment_lm1,A,100,20,4.61407125091508e-06
16.5871999998202,0.365163164399359,2.36516316383478,0.682473671804051,3,1,2,0,1,12,experiment_lm1,A,100,18,9.95424352974966e-06
16.5871999998202,-0.63483683530769,4.3651631635717,0.682473671773964,3,1,2,0,1,13,experiment_lm1,A,100,17,4.62668036668967e-06
16.5871999998202,0.365163164898794,2.36516316383237,2.68247367130688,3,2,1,0,1,14,experiment_lm1,A,100,25,1.46409329194354e-06
16.5871999998202,0.365163164738702,3.3651631637305,1.68247367156885,3,1,2,0,1,15,experiment_lm1,A,100,23,2.1504568530533e-06
16.5871999998202,1.36516316360692,0.365163164099881,-1.31752632766862,1,2,3,0,1,16,experiment_lm1,A,100,20,3.12851762948968e-05
16.5871999998202,1.36516316478514,2.36516316388929,2.68247367136373,3,2,1,0,1,17,experiment_lm1,A,100,14,9.99521105918246e-07
16.5871999998202,2.36516316397343,-2.63483683553761,1.68247367160225,1,3,2,0,1,18,experiment_lm1,A,100,21,1.45411864296296e-05
16.5871999998202,2.36516316399263,0.365163164154387,0.682473671891029,1,3,2,0,1,19,experiment_lm1,A,100,19,4.61407125091508e-06
16.5871999998202,-0.634836834987515,2.36516316377546,2.68247367125002,3,2,1,0,1,20,experiment_lm1,A,100,19,2.14459620194292e-06
16.5871999998202,-0.634836835307695,4.36516316357173,0.682473671774003,3,1,2,0,1,21,experiment_lm1,A,100,27,2.14459620194292e-06
16.5871999998202,0.365163164220077,0.36516316404078,0.682473671777315,2,3,1,0,1,22,experiment_lm1,A,100,19,1.45411864296296e-05
16.5871999998202,0.36516316429052,-1.6348368357544,1.68247367150192,2,3,1,0,1,23,experiment_lm1,A,100,22,3.12851762948968e-05
16.5871999998202,0.365163164220077,0.365163164040798,0.682473671777278,2,3,1,0,1,24,experiment_lm1,A,100,22,3.1370670945603e-05
16.5871999998202,0.365163164328917,4.36516316362973,-0.317526327920554,2,1,3,0,1,25,experiment_lm1,A,100,17,3.14997795897154e-06
16.5871999998202,1.36516316408713,-2.63483683559447,1.68247367154539,2,3,1,0,1,26,experiment_lm1,A,100,22,3.12851762948968e-05
16.5871999998202,2.3651631642423,0.365163164153238,1.6824736716424,1,3,2,0,1,27,experiment_lm1,A,100,23,3.14997795897154e-06
16.5871999998202,2.36516316458168,1.36516316404911,2.6824736714072,2,3,1,0,1,28,experiment_lm1,A,100,18,9.99521105918246e-07
16.5871999998202,1.36516316394619,1.36516316399571,-0.317526327903853,2,1,3,0,1,29,experiment_lm1,A,100,23,9.92711517871451e-06
16.5871999998202,3.36516316437834,0.365163164209169,2.68247367145067,1,3,2,0,1,30,experiment_lm1,A,100,21,9.99521105918246e-07
16.5871999998202,0.365163164059982,1.36516316393878,-0.317526327960712,2,1,3,0,1,31,experiment_lm1,A,100,21,1.45411864296296e-05
16.5871999998202,0.365163164328915,4.36516316362971,-0.31752632792055,2,1,3,0,1,32,experiment_lm1,A,100,20,3.14997795897154e-06
16.5871999998202,-0.634836835935196,-2.63483683570703,0.682473671680264,2,3,1,0,1,33,experiment_lm1,A,100,23,0.000212125518349692
16.5871999998202,-0.634836835256441,-0.634836835915375,2.68247367120986,2,3,1,0,1,34,experiment_lm1,A,100,21,2.13580611161823e-05
16.5871999998202,-0.634836836005642,-0.634836835911838,-0.317526328044334,3,2,1,0,1,35,experiment_lm1,A,100,14,0.000144815862391467
16.5871999998202,-0.634836835826354,1.36516316388205,-0.317526328017562,3,1,2,0,1,36,experiment_lm1,A,100,25,4.59515948420424e-05
16.5871999998202,0.365163164809193,1.36516316393541,2.68247367129349,3,2,1,0,1,37,experiment_lm1,A,100,20,3.14997795897154e-06
16.5871999998202,0.365163164130395,-0.634836835856223,0.68247367176393,2,3,1,0,1,38,experiment_lm1,A,100,17,3.12851762948968e-05
16.5871999998202,1.36516316401674,-0.634836835799271,0.682473671820747,1,3,2,0,1,39,experiment_lm1,A,100,18,3.1370670945603e-05
