rn,absrelmean_X1,absrelmean_X2,absrelmean_X3,absrelmean_total,absmean_X1,absmean_X2,absmean_X3,absmean_total,abssd_X1,abssd_X2,abssd_X3,abssd_total,h_X_1,h_X_2,h_X_3,h_X_1_2,h_X_1_3,h_X_2_3,comp_time,true_model,fitted_model,variables,notes,X_dim,X_GenHyp,rho,pi.G,sd_noise,nTrain,nTest,w_threshold,n_threshold,this.seed,run_indicator,run_date_time
empirical_independence,0.0401036609564848,0.035537165312258,0.035928320676607,0.0371897156484499,0.0405567219050187,0.0376278373524442,0.0356924873496872,0.0379590155357167,0.0303643128653988,0.028812325511548,0.0275868530201255,0.0289159733173849,Inf,Inf,Inf,Inf,Inf,Inf,7.02000000000044,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.04,1,0.1,2000,100,1,1000,1235,wPygR,2018-12-23T23:52:08.811414Z
Gaussian,0.0238446162550019,0.0237450136873012,0.0183925094294317,0.0219940464572449,0.0236702133750664,0.0247019265937612,0.0183685829657659,0.0222469076448645,0.0175577739853442,0.0198040261002253,0.0148189746503582,0.0176738421065764,,,,,,,6.89799999999923,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.04,1,0.1,2000,100,1,1000,1235,wPygR,2018-12-23T23:52:08.811414Z
copula,0.0355366368343513,0.0282016205085636,0.0228055955502156,0.0288479509643769,0.0341587371872154,0.0293882039669602,0.0227168797779119,0.0287546069773625,0.0209667681454444,0.0211857041818104,0.0165298277498561,0.0201675100932742,,,,,,,12.3670000000002,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.04,1,0.1,2000,100,1,1000,1235,wPygR,2018-12-23T23:52:08.811414Z
treeSHAP,0.031443561860112,0.0272525588037534,0.0339380086941166,0.0308780431193273,0.0314044725854056,0.028537497834719,0.032857027340596,0.0309329992535735,0.0221191627984428,0.0238836591400723,0.0270036088055342,0.0244036238969756,,,,,,,0.0150000000012369,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.04,1,0.1,2000,100,1,1000,1235,wPygR,2018-12-23T23:52:08.811414Z
empirical_sigma.01,0.0693925435511817,0.0564042302229961,0.0658412960738534,0.0638793566160104,0.0698373872073758,0.0626846408507168,0.059108402450212,0.0638768101694349,0.062563346976147,0.0619501286614587,0.0470363154451409,0.0576126182214359,0.1,0.1,0.1,0.1,0.1,0.1,7.14799999999923,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.08,1,0.1,2000,100,1,1000,1235,mVlV6,2018-12-24T01:47:42.618224Z
empirical_AIC_each_k,0.0295039659112408,0.0238031452280632,0.0322234209212614,0.0285101773535218,0.0300574885133885,0.0263895261345585,0.0263458504220191,0.0275976216899887,0.0280530087055036,0.0282042261440365,0.0215578762191359,0.0260934591869065,0.658337635608005,0.658337635608005,0.658337635608005,0.417076530751693,0.417076530751693,0.417076530751693,2458.047,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.08,1,0.1,2000,100,1,1000,1235,mVlV6,2018-12-24T01:47:42.618224Z
empirical_AIC_full,0.0307595220829752,0.024901422639706,0.033498500863698,0.0297198151954597,0.0314160128319419,0.0279763539274095,0.0278035955123724,0.0290653207572413,0.0270026624342687,0.0285462123659238,0.0215025854269969,0.0258282909859658,0.696012445086687,0.509760880279362,0.698273505660398,0.320161268662511,0.392543443185175,0.548246626004915,2281.909,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.08,1,0.1,2000,100,1,1000,1235,mVlV6,2018-12-24T01:47:42.618224Z
empirical_independence,0.0608124121244659,0.0584466142228807,0.0715510059877705,0.0636033441117057,0.0635788450868165,0.0638774661547707,0.0646150891921547,0.0640238001445806,0.0471298824488693,0.0512582489639773,0.0499543162061345,0.0493136706552769,Inf,Inf,Inf,Inf,Inf,Inf,6.12700000000041,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.08,1,0.1,2000,100,1,1000,1235,mVlV6,2018-12-24T01:47:42.618224Z
Gaussian,0.0231906281853979,0.0215060286635814,0.0203220910424035,0.0216729159637942,0.0237819651617702,0.0225691374404682,0.0186266903072009,0.0216592643031464,0.0168970683238618,0.0182331462111945,0.0136246271641184,0.016459978290549,,,,,,,5.81800000000294,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.08,1,0.1,2000,100,1,1000,1235,mVlV6,2018-12-24T01:47:42.618224Z
copula,0.032720669677898,0.0300199434971289,0.0239834411601345,0.0289080181117205,0.0333145400675278,0.0320286245802378,0.0224230389941042,0.0292554012139566,0.0201786403006668,0.0214910988089858,0.0167226603919207,0.0201005320345074,,,,,,,11.9049999999988,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.08,1,0.1,2000,100,1,1000,1235,mVlV6,2018-12-24T01:47:42.618224Z
treeSHAP,0.0464970099124492,0.0496397491801521,0.0742077198391336,0.056781492977245,0.0479133225374169,0.0529228205513077,0.0622268198779814,0.054354320988902,0.0374346388699358,0.043084190046869,0.0543317595428076,0.0457306210597446,,,,,,,0.0129999999990105,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.08,1,0.1,2000,100,1,1000,1235,mVlV6,2018-12-24T01:47:42.618224Z
empirical_sigma.01,0.0652894828331634,0.0556017118924931,0.0586704097364319,0.0598538681540295,0.0660040252465083,0.0624177011034546,0.0552623165084782,0.061228014286147,0.0552533098197552,0.0599050468801211,0.0459892753423786,0.0540308531836846,0.1,0.1,0.1,0.1,0.1,0.1,6.35300000000279,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.12,1,0.1,2000,100,1,1000,1235,oKpaq,2018-12-24T03:11:05.452913Z
empirical_AIC_each_k,0.0367946662340934,0.028530080268483,0.0318464578388357,0.0323904014471373,0.0375145938844281,0.0315221931335284,0.0291548906476089,0.0327305592218552,0.0313865509102188,0.0336543812415025,0.0238199213178119,0.030024532512854,0.573282972350423,0.573282972350423,0.573282972350423,0.35658070122285,0.35658070122285,0.35658070122285,1666.594,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.12,1,0.1,2000,100,1,1000,1235,oKpaq,2018-12-24T03:11:05.452913Z
empirical_AIC_full,0.0377900435743682,0.0288917204902098,0.0324409555515751,0.0330409065387177,0.0386146120724574,0.0322209259240623,0.0298617528194088,0.0335657636053095,0.0308489418095662,0.0338156805517404,0.024478705521469,0.0300970559134743,0.579196557578596,0.498298883956182,0.601793947499043,0.322694423805958,0.343578568213795,0.432743254061688,1984.014,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.12,1,0.1,2000,100,1,1000,1235,oKpaq,2018-12-24T03:11:05.452913Z
empirical_independence,0.0825325010697839,0.0816730613337396,0.0947494464037247,0.0863183362690828,0.0879653998469577,0.0911418277671733,0.0920354405918503,0.0903808894019938,0.066216922249372,0.073842263285647,0.0711372996638849,0.0702552642405503,Inf,Inf,Inf,Inf,Inf,Inf,6.52499999999782,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.12,1,0.1,2000,100,1,1000,1235,oKpaq,2018-12-24T03:11:05.452913Z
Gaussian,0.0249956166489044,0.0216550684300894,0.0182843751744589,0.0216450200844842,0.0258468496883108,0.022677993751628,0.0184804554790583,0.0223350996396657,0.0182961861269999,0.0192642751113729,0.0132890314918844,0.0173585512928566,,,,,,,5.91200000000026,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.12,1,0.1,2000,100,1,1000,1235,oKpaq,2018-12-24T03:11:05.452913Z
copula,0.0355975327392217,0.0310739604715908,0.0214837117139843,0.0293850683082656,0.0362949291116645,0.0336960171371467,0.0217232599098081,0.0305714020528731,0.0205451498704473,0.0209832104505778,0.0151607371503772,0.0200512336521293,,,,,,,11.4340000000011,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.12,1,0.1,2000,100,1,1000,1235,oKpaq,2018-12-24T03:11:05.452913Z
treeSHAP,0.0644641790288785,0.0674844823753685,0.0880179320760639,0.0733221978267703,0.0671069224756507,0.0718624750762091,0.0858204409553664,0.0749299461690754,0.0528570477997033,0.0556952607501247,0.0671786305579517,0.0592424922957794,,,,,,,0.0279999999984284,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.12,1,0.1,2000,100,1,1000,1235,oKpaq,2018-12-24T03:11:05.452913Z
empirical_sigma.01,0.0686513198416786,0.0547263559764684,0.0837712133656753,0.0690496297279408,0.0720885900943231,0.0631931571247325,0.0643668864024403,0.0665495445404986,0.061682781928675,0.0642632290291198,0.0682263504766543,0.0646838977518763,0.1,0.1,0.1,0.1,0.1,0.1,6.18700000000172,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.16,1,0.1,2000,100,1,1000,1235,XE21j,2018-12-24T04:16:18.657270Z
empirical_AIC_each_k,0.0361785852432072,0.0309872939094713,0.0412051179707408,0.0361236657078065,0.0384103962671191,0.0354245281827929,0.0305960942719586,0.0348103395739569,0.0328732392884345,0.0366690107094047,0.0282730101634279,0.0328342371563138,0.507676971684919,0.507676971684919,0.507676971684919,0.334535254708268,0.334535254708268,0.334535254708268,1503.977,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.16,1,0.1,2000,100,1,1000,1235,XE21j,2018-12-24T04:16:18.657270Z
empirical_AIC_full,0.0391563744972896,0.0344430602218354,0.0448545050157998,0.0394846465783083,0.0413542768991251,0.0392951157756547,0.0339567452309848,0.0382020459685882,0.0360434454382924,0.0476340599877155,0.0324808763085555,0.0392490695456077,0.501970886159096,0.465117509868677,0.538033291930505,0.286953601538036,0.33185460920251,0.386294190712508,2054.038,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.16,1,0.1,2000,100,1,1000,1235,XE21j,2018-12-24T04:16:18.657270Z
empirical_independence,0.100466428915367,0.0983356005349303,0.137783164356902,0.1121950646024,0.110603646520874,0.11384079309055,0.117859205486294,0.114101215032573,0.0839688193092775,0.0934964562767928,0.0918799618135115,0.0896264224720116,Inf,Inf,Inf,Inf,Inf,Inf,6.59800000000178,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.16,1,0.1,2000,100,1,1000,1235,XE21j,2018-12-24T04:16:18.657270Z
Gaussian,0.0245419363366703,0.0216738069460324,0.0201978452442358,0.0221378628423128,0.0257520885305178,0.0237846337586942,0.0189207519886715,0.0228191580926278,0.0183816701887486,0.0204762719294752,0.0137205306104789,0.0179249093414121,,,,,,,6.08299999999872,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.16,1,0.1,2000,100,1,1000,1235,XE21j,2018-12-24T04:16:18.657270Z
copula,0.0318401384150914,0.0317302263354952,0.022918117674559,0.0288294941417152,0.0328094354514147,0.0351952915449002,0.0223029182018326,0.0301025483993825,0.0196323086068408,0.0210806338954625,0.0151903303223333,0.0195608871517415,,,,,,,11.405999999999,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.16,1,0.1,2000,100,1,1000,1235,XE21j,2018-12-24T04:16:18.657270Z
treeSHAP,0.0807722914546634,0.0888880027773077,0.141938203354031,0.103866165862001,0.0866022994146015,0.0959871375584626,0.115163754619256,0.0992510638641067,0.0689493479520643,0.0747811087113407,0.0951430274640315,0.0810225131549425,,,,,,,0.0250000000014552,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.16,1,0.1,2000,100,1,1000,1235,XE21j,2018-12-24T04:16:18.657270Z
empirical_sigma.01,0.0672882129279588,0.0548430382118742,0.216332671412031,0.112821307517288,0.0684096112718676,0.0662394233734741,0.0681429062947356,0.0675973136466924,0.0593112392054994,0.0789331874151114,0.0812465979435087,0.0735815462480263,0.1,0.1,0.1,0.1,0.1,0.1,6.29499999999825,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.2,1,0.1,2000,100,1,1000,1235,2vdyZ,2018-12-24T05:19:53.838315Z
empirical_AIC_each_k,0.0361559750566317,0.0323385675916404,0.397399276946668,0.15529793986498,0.0373077320728662,0.0366979113201626,0.0331249512071337,0.0357101982000542,0.0329252101489109,0.0383679835297445,0.0332845468012209,0.0348796475722989,0.459682489225098,0.459682489225098,0.459682489225098,0.301940404687645,0.301940404687645,0.301940404687645,2551.884,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.2,1,0.1,2000,100,1,1000,1235,2vdyZ,2018-12-24T05:19:53.838315Z
empirical_AIC_full,0.036627396162661,0.0326586189324627,0.416808751264987,0.162031588786704,0.0377988628720985,0.0373108452808646,0.0344804648393239,0.0365300576640957,0.0332425670991504,0.0382873883946351,0.034458205789081,0.035306574406942,0.452004692670318,0.428443689965391,0.484106871214697,0.275956941138237,0.30045083672525,0.332345175177942,2366.411,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.2,1,0.1,2000,100,1,1000,1235,2vdyZ,2018-12-24T05:19:53.838315Z
empirical_independence,0.119776395368169,0.119006820768954,0.801117533390787,0.34663358317597,0.130439856751014,0.137061262056779,0.140009231030136,0.135836783279309,0.0953907930516382,0.113404850248815,0.113385444267431,0.107442439580587,Inf,Inf,Inf,Inf,Inf,Inf,6.45700000000215,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.2,1,0.1,2000,100,1,1000,1235,2vdyZ,2018-12-24T05:19:53.838315Z
Gaussian,0.024775585519096,0.0216244356997693,0.0930373266936898,0.0464791159708517,0.0260456992351896,0.0231059170906428,0.0201636500008892,0.0231050887755738,0.0177451562929154,0.020738858083137,0.0144763931686726,0.0179399821645898,,,,,,,6.0480000000025,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.2,1,0.1,2000,100,1,1000,1235,2vdyZ,2018-12-24T05:19:53.838315Z
copula,0.0291612690027548,0.0303270532903775,0.0503804370184828,0.0366229197705383,0.0299926773785237,0.0333762095010334,0.0214758131273552,0.0282815666689708,0.0190951859985518,0.0200017787953791,0.0157065515672437,0.0189743770344203,,,,,,,11.6949999999997,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.2,1,0.1,2000,100,1,1000,1235,2vdyZ,2018-12-24T05:19:53.838315Z
treeSHAP,0.0964572470255628,0.109375168687573,1.02177586877667,0.409202761496602,0.100702568465414,0.114431894959538,0.138852006489718,0.117995489971556,0.078258674568769,0.0918059364757817,0.116077145592779,0.0976190225117009,,,,,,,0.0159999999959837,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.2,1,0.1,2000,100,1,1000,1235,2vdyZ,2018-12-24T05:19:53.838315Z
empirical_sigma.01,0.0685725995677979,0.055498834888128,0.0758625195208994,0.0666446513256084,0.0711825601079852,0.0642066516653508,0.0650171959792098,0.0668021359175153,0.0567891066375866,0.0648693641611596,0.0657069552121709,0.0624527841928224,0.1,0.1,0.1,0.1,0.1,0.1,6.68699999999808,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.24,1,0.1,2000,100,1,1000,1235,9mZlx,2018-12-24T06:46:30.266326Z
empirical_AIC_each_k,0.037441527106973,0.0323790856543581,0.0416217396327931,0.0371474507980414,0.037863841739057,0.0374872089743279,0.0344449019904797,0.0365986509012882,0.0350610890466699,0.0409560584747682,0.0336366662635947,0.0365975666983996,0.422451225603643,0.422451225603643,0.422451225603643,0.285769041210951,0.285769041210951,0.285769041210951,2101.129,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.24,1,0.1,2000,100,1,1000,1235,9mZlx,2018-12-24T06:46:30.266326Z
empirical_AIC_full,0.03839961409099,0.0324856323834269,0.0426191393440198,0.0378347952728122,0.0388838255613833,0.0374212855247746,0.0353404810138948,0.0372151973666842,0.035106559697213,0.0413479113165167,0.0343006782510724,0.0369570464674491,0.40873537898184,0.41286929014,0.442221534472878,0.279335213487885,0.278373101210126,0.306630634548566,1778.507,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.24,1,0.1,2000,100,1,1000,1235,9mZlx,2018-12-24T06:46:30.266326Z
empirical_independence,0.138905541375636,0.133719086948414,0.180332135990948,0.150985588104999,0.152183590593844,0.15641551817597,0.162468812134685,0.157022640301499,0.111576069459234,0.128052940142836,0.128369519873012,0.122577801504391,Inf,Inf,Inf,Inf,Inf,Inf,6.75300000000425,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.24,1,0.1,2000,100,1,1000,1235,9mZlx,2018-12-24T06:46:30.266326Z
Gaussian,0.0238209265613298,0.0213358527695276,0.0217946488779428,0.0223171427362668,0.0249933597765076,0.0229050457960284,0.0205071491414601,0.022801851571332,0.0175966814009165,0.0200839485153337,0.0137484107793865,0.0173791645707629,,,,,,,5.89799999999377,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.24,1,0.1,2000,100,1,1000,1235,9mZlx,2018-12-24T06:46:30.266326Z
copula,0.0287462166984719,0.0282541808519584,0.019727606184362,0.0255760012449308,0.0292258249811419,0.0313900759689337,0.0198551049682956,0.0268236686394571,0.0196579635639337,0.0187546853573855,0.0152890567666656,0.0186267063968007,,,,,,,11.9959999999992,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.24,1,0.1,2000,100,1,1000,1235,9mZlx,2018-12-24T06:46:30.266326Z
