none,group1,group2,group3,group1_rank,group2_rank,group3_rank,correlation,pre_grouped,standardized,test_id,model_type,grouping,No_test_obs
5.41676173206151,0.235723326798359,1.08304970321193,-0.521022276948861,2,1,3,0,1,0,1,experiment_gam1,A,100
5.41676173555934,0.569932162782888,0.313136181678521,0.262524915857903,1,2,3,0,1,0,2,experiment_gam1,A,100
5.41676173363821,0.424326118204453,-0.461912993708062,-1.14162193043616,1,2,3,0,1,0,3,experiment_gam1,A,100
5.41676173505448,-0.120298489203118,-0.98550831669635,-0.0642067860359916,2,3,1,0,1,0,4,experiment_gam1,A,100
5.41676172447376,0.0357812601844856,-0.139903653963918,0.775074141276865,2,3,1,0,1,0,5,experiment_gam1,A,100
5.41676172697636,1.01893549592659,-0.0601750782548034,-0.518468506808336,1,2,3,0,1,0,6,experiment_gam1,A,100
5.41676172052844,-0.0524995448530286,0.542419909890616,-0.993800053029704,2,1,3,0,1,0,7,experiment_gam1,A,100
5.41676173125869,0.144450592028509,-0.701667359526436,-0.602869434925247,1,3,2,0,1,0,8,experiment_gam1,A,100
5.41676172403428,0.983009155343855,-0.0923421572230163,-0.263084677235364,1,2,3,0,1,0,9,experiment_gam1,A,100
5.41676173428655,1.12532379399756,-0.0297766012027849,-0.423102233795643,1,2,3,0,1,0,10,experiment_gam1,A,100
5.41676172460578,-0.898507491538711,-1.60000080179604,0.460511225929688,2,3,1,0,1,0,11,experiment_gam1,A,100
5.41676172653721,0.469131403552362,0.490034401025621,-0.332841852801616,2,1,3,0,1,0,12,experiment_gam1,A,100
5.41676173584022,-0.142885078320622,0.116178230334196,-0.800545453827164,2,1,3,0,1,0,13,experiment_gam1,A,100
5.41676172780044,0.61668356104627,-0.32304054631605,-0.25897203230521,1,3,2,0,1,0,14,experiment_gam1,A,100
5.41676173710659,0.717783249437444,1.27285555691064,-0.296219567830374,2,1,3,0,1,0,15,experiment_gam1,A,100
5.41676173600609,0.213370621416701,-0.729949795021535,0.759251469522718,2,3,1,0,1,0,16,experiment_gam1,A,100
5.4167617215278,-1.26250217608461,0.771912868603936,0.0940576456993263,3,1,2,0,1,0,17,experiment_gam1,A,100
5.4167617281023,0.992523465767303,-0.253143605999821,-0.0232332662035306,1,3,2,0,1,0,18,experiment_gam1,A,100
5.41676173255991,0.382368818403642,-1.20235271722193,0.00793163196259772,1,3,2,0,1,0,19,experiment_gam1,A,100
5.41676173103526,0.553210641841496,0.140587341139062,-0.66518801114876,1,2,3,0,1,0,20,experiment_gam1,A,100
5.41676172855814,0.530260046962624,-0.403504186797786,0.476311547997059,1,3,2,0,1,0,21,experiment_gam1,A,100
5.41676172054392,0.911733811961056,-0.090706472062219,0.444375102640101,1,3,2,0,1,0,22,experiment_gam1,A,100
5.4167617266059,1.55002458680984,1.04770855546653,-1.2050221572805,1,2,3,0,1,0,23,experiment_gam1,A,100
5.41676172914063,0.0356646753298358,-0.194286545798615,0.383042201874624,2,3,1,0,1,0,24,experiment_gam1,A,100
5.41676172493254,0.735755759314994,-0.572872118049427,0.0905490235346402,1,3,2,0,1,0,25,experiment_gam1,A,100
5.41676173491909,0.286662732283146,1.05384761049892,0.0947385841912078,2,1,3,0,1,0,26,experiment_gam1,A,100
5.41676173230323,-0.225312851097224,0.63465405417714,0.216805877708121,3,1,2,0,1,0,27,experiment_gam1,A,100
5.41676172649168,0.5343703063998,0.127561205649066,0.292578722878861,1,3,2,0,1,0,28,experiment_gam1,A,100
5.41676172871884,0.485400889294365,-0.383436812327634,-0.86458957678536,1,2,3,0,1,0,29,experiment_gam1,A,100
5.41676173550319,-0.130373543259246,1.12319408099661,-0.224855553034069,2,1,3,0,1,0,30,experiment_gam1,A,100
5.4167617298783,0.262874495685968,0.876961380132914,0.611576341230404,3,1,2,0,1,0,31,experiment_gam1,A,100
5.41676173536214,1.08240153228821,-1.08332165064195,-1.30866144310364,1,2,3,0,1,0,32,experiment_gam1,A,100
5.41676172772238,-0.575157110610867,0.354355199992414,0.172731221301436,3,1,2,0,1,0,33,experiment_gam1,A,100
5.41676172882588,0.361116313100973,0.736336336488394,0.685848552213931,3,1,2,0,1,0,34,experiment_gam1,A,100
5.41676173050835,0.332470872861825,0.761160044627801,-0.960652911457905,2,1,3,0,1,0,35,experiment_gam1,A,100
5.41676173057076,0.874120746125974,-2.2940448405265,0.706888048387068,1,3,2,0,1,0,36,experiment_gam1,A,100
5.4167617350834,0.639962487635439,0.699464532269189,-0.153734604965726,2,1,3,0,1,0,37,experiment_gam1,A,100
5.41676172412349,0.286422242807902,-1.73977358287703,0.410508855956999,2,3,1,0,1,0,38,experiment_gam1,A,100
5.41676173152317,0.200810853173096,-0.118026377876889,-0.670645901908025,1,2,3,0,1,0,39,experiment_gam1,A,100
5.41676173445294,0.448387500450336,-2.07966552849674,-0.194507979178689,1,3,2,0,1,0,40,experiment_gam1,A,100
5.41676173254591,1.28440561906063,0.368242908024201,0.466973905703362,1,3,2,0,1,0,41,experiment_gam1,A,100
5.4167617351143,0.644268181124994,-0.555709093190744,-0.521145553373558,1,3,2,0,1,0,42,experiment_gam1,A,100
5.41676173196338,1.46454401850889,0.836199009393186,-1.48547868814347,1,2,3,0,1,0,43,experiment_gam1,A,100
5.41676173423307,0.308012069173366,-0.253114593389023,0.354345867313372,2,3,1,0,1,0,44,experiment_gam1,A,100
5.41676173122741,0.0752296427234818,-1.10565740618334,-0.735702811231152,1,3,2,0,1,0,45,experiment_gam1,A,100
5.41676173442512,1.17043307457148,0.668419477045125,-0.158822966719244,1,2,3,0,1,0,46,experiment_gam1,A,100
5.41676172936639,-1.14029137301795,1.16083315244752,-0.179294538022554,3,1,2,0,1,0,47,experiment_gam1,A,100
5.41676172887224,-1.41716489035936,-1.67902491930184,0.64851005231711,2,3,1,0,1,0,48,experiment_gam1,A,100
5.4167617274565,0.0804975338245488,0.330695807401633,0.300903374077771,3,1,2,0,1,0,49,experiment_gam1,A,100
5.41676173222675,0.838728042662369,1.19444614701588,0.796100034992916,2,1,3,0,1,0,50,experiment_gam1,A,100
5.41676173357702,1.0265926381356,-0.520049371744077,0.740449753158497,1,3,2,0,1,0,51,experiment_gam1,A,100
5.41676173030672,0.730891150803523,-0.0765939621566352,0.0616627584112515,1,3,2,0,1,0,52,experiment_gam1,A,100
5.41676172810962,-1.80632057111224,0.402249923447613,0.318331637122617,3,1,2,0,1,0,53,experiment_gam1,A,100
5.41676172181965,-0.496181404270329,-0.522375084274984,-1.44945221325149,1,2,3,0,1,0,54,experiment_gam1,A,100
5.41676172917266,0.679725119136567,-0.0776772865108004,0.259220304246896,1,3,2,0,1,0,55,experiment_gam1,A,100
5.41676172833003,-0.615373863712856,-0.739624058256466,0.720462118852183,2,3,1,0,1,0,56,experiment_gam1,A,100
5.41676173306166,-2.61405565814142,1.29381823424864,0.181070832153762,3,1,2,0,1,0,57,experiment_gam1,A,100
5.41676172899873,0.114980903936669,-0.0795754894220604,0.262928429026191,2,3,1,0,1,0,58,experiment_gam1,A,100
5.41676172725728,-1.020058329669,1.45093536121179,-0.458081048902978,3,1,2,0,1,0,59,experiment_gam1,A,100
5.41676172646857,0.536625650749555,0.721877556421224,-0.103160428259798,2,1,3,0,1,0,60,experiment_gam1,A,100
5.41676172671675,1.22757365489228,-0.073512202401961,-0.993351321276292,1,2,3,0,1,0,61,experiment_gam1,A,100
5.41676173002126,0.0666342937469704,0.838358594007903,-0.043710298061248,2,1,3,0,1,0,62,experiment_gam1,A,100
5.41676173533501,0.632001325072414,0.312125630429711,0.214800330877455,1,2,3,0,1,0,63,experiment_gam1,A,100
5.4167617245855,-0.164581497951518,1.09441737521984,-1.26155902431175,2,1,3,0,1,0,64,experiment_gam1,A,100
5.41676174085736,0.4112505738591,-1.32952917931979,-0.0545112573517161,1,3,2,0,1,0,65,experiment_gam1,A,100
5.41676172171728,-2.44351677026409,0.651240793273494,-1.39516880222227,3,1,2,0,1,0,66,experiment_gam1,A,100
5.41676172715615,-0.276386315218629,-0.435408654598991,0.362776064839738,2,3,1,0,1,0,67,experiment_gam1,A,100
5.41676173790901,0.340816489178377,1.35231654505843,-0.494880516283658,2,1,3,0,1,0,68,experiment_gam1,A,100
5.41676172770691,-1.26457303527305,0.612896262505242,-0.334270044109111,3,1,2,0,1,0,69,experiment_gam1,A,100
5.4167617308503,1.06675779693384,1.0187109859513,0.778937381752558,1,2,3,0,1,0,70,experiment_gam1,A,100
5.41676172371982,1.17975360935645,0.204641110668633,-0.590461617323701,1,2,3,0,1,0,71,experiment_gam1,A,100
5.41676173554333,-1.64598200913123,-1.18263519396854,0.483409979639877,3,2,1,0,1,0,72,experiment_gam1,A,100
5.41676172414259,1.01495057687663,0.53776554489174,0.635099527006856,1,3,2,0,1,0,73,experiment_gam1,A,100
5.41676172467279,0.970701696870923,1.511598579655,-0.637719852302875,2,1,3,0,1,0,74,experiment_gam1,A,100
5.41676173207673,-0.113218041946917,-0.183258390111373,-1.11809043634678,1,2,3,0,1,0,75,experiment_gam1,A,100
5.41676173005542,-0.0393107673602287,1.23035534395993,0.253234341182329,3,1,2,0,1,0,76,experiment_gam1,A,100
5.41676172686481,-1.74994597475821,0.254360722530345,-0.690167629144903,3,1,2,0,1,0,77,experiment_gam1,A,100
5.41676173064607,0.333745473506929,0.866262412150279,-1.12925005181707,2,1,3,0,1,0,78,experiment_gam1,A,100
5.41676172907452,1.14002422554759,0.698347975086133,0.521041786478168,1,2,3,0,1,0,79,experiment_gam1,A,100
5.4167617227315,0.33258903823133,0.97106512652565,0.706358854944007,3,1,2,0,1,0,80,experiment_gam1,A,100
5.41676172896979,-0.0346873183101972,0.536084566974778,0.440635758691131,3,1,2,0,1,0,81,experiment_gam1,A,100
5.41676173432315,0.186339838651154,0.655560053463717,0.407300620770555,3,1,2,0,1,0,82,experiment_gam1,A,100
5.41676173248454,0.873894702048462,0.572292285834647,0.225944439221644,1,2,3,0,1,0,83,experiment_gam1,A,100
5.41676171713795,-1.06023191403179,-0.0544063645044486,0.504447880909598,3,2,1,0,1,0,84,experiment_gam1,A,100
5.41676173465969,-0.901284228853708,-1.41226371781239,0.726564920097496,2,3,1,0,1,0,85,experiment_gam1,A,100
5.41676172271504,0.343320397315902,-1.04406085482408,0.343392358351763,2,3,1,0,1,0,86,experiment_gam1,A,100
5.41676173634058,-1.98921438228667,-3.51826321088671,-1.00876906050852,2,3,1,0,1,0,87,experiment_gam1,A,100
5.41676172643529,0.528371065603841,-0.337269149878642,0.709362688625515,2,3,1,0,1,0,88,experiment_gam1,A,100
5.41676172865654,-0.994212095728149,-0.214542709911326,0.00759089512502698,3,2,1,0,1,0,89,experiment_gam1,A,100
5.4167617283741,0.609556714784685,0.433643673396473,0.613503047304494,2,3,1,0,1,0,90,experiment_gam1,A,100
5.41676173039315,-0.530091420961278,0.771232713828934,-1.13334327460168,2,1,3,0,1,0,91,experiment_gam1,A,100
5.41676173230022,0.368839275253259,0.948882341279743,0.104653921566597,2,1,3,0,1,0,92,experiment_gam1,A,100
5.41676173681536,0.651476265619527,-1.73776721881356,0.706844623031891,2,3,1,0,1,0,93,experiment_gam1,A,100
5.41676174149904,-0.419177682621064,0.474908442625495,0.399604485423493,3,1,2,0,1,0,94,experiment_gam1,A,100
5.41676173031663,-0.0421529312458784,0.639859049746713,0.762514035105205,3,2,1,0,1,0,95,experiment_gam1,A,100
5.41676172914188,1.17776644217562,-0.53288983526386,-1.72963692545217,1,2,3,0,1,0,96,experiment_gam1,A,100
5.41676173104822,0.203401003117006,0.213007335918591,-0.680580600237776,2,1,3,0,1,0,97,experiment_gam1,A,100
5.41676172177063,0.7403330396912,0.0604215072995942,0.210738544691716,1,3,2,0,1,0,98,experiment_gam1,A,100
5.41676172607311,-0.537424764431789,0.764748020468371,0.529419189441813,3,1,2,0,1,0,99,experiment_gam1,A,100
5.41676173287269,0.27415792810464,-1.12538049342012,0.213651706043663,1,3,2,0,1,0,100,experiment_gam1,A,100
-0.493830574488561,-0.258246573167239,0.670521010614853,-0.858011130357024,2,1,3,0,1,0,1,experiment_gam2,A,100
-0.493830585783819,-0.771057112110456,1.87213853260222,0.0599455140083285,3,1,2,0,1,0,2,experiment_gam2,A,100
-0.493830555407048,-0.0559402026168863,-0.154394584395782,-4.50884295894571,1,2,3,0,1,0,3,experiment_gam2,A,100
-0.493830588527748,3.8771497725859,0.695757286691526,0.483458653573686,1,2,3,0,1,0,4,experiment_gam2,A,100
-0.493830601802732,-0.10183521568029,-0.327982522463818,-0.255482488795974,1,3,2,0,1,0,5,experiment_gam2,A,100
-0.493830602072664,-0.316450306492777,-1.35926952033589,-1.57727273841784,1,2,3,0,1,0,6,experiment_gam2,A,100
-0.493830563309864,-1.81271136307991,-1.45610802422625,7.13458319012359,3,2,1,0,1,0,7,experiment_gam2,A,100
-0.493830603289379,-0.419807106394607,-3.06713146931337,-0.247210540439057,2,3,1,0,1,0,8,experiment_gam2,A,100
-0.493830589668502,-0.360487339332517,-0.90557623329956,-1.1784310489005,1,2,3,0,1,0,9,experiment_gam2,A,100
-0.49383054396525,-0.494599611663052,-0.547301418676325,-0.411841735781622,2,3,1,0,1,0,10,experiment_gam2,A,100
-0.493830614871461,2.39230750049434,-0.404344965964867,0.244744170008848,1,3,2,0,1,0,11,experiment_gam2,A,100
-0.493830571797691,0.365341071834944,0.60677810456638,-0.979532851398296,2,1,3,0,1,0,12,experiment_gam2,A,100
-0.493830571485471,-2.0289964832981,-1.10397738491574,-0.779775787741093,3,2,1,0,1,0,13,experiment_gam2,A,100
-0.493830555863424,-0.806545283553905,-1.64745853531196,-0.409419828591999,2,3,1,0,1,0,14,experiment_gam2,A,100
-0.493830603758216,0.15224610502489,-0.243236976807612,0.554594675339369,2,3,1,0,1,0,15,experiment_gam2,A,100
-0.493830580853578,4.54041522011207,-7.08903112001903,-0.00717956111877482,1,3,2,0,1,0,16,experiment_gam2,A,100
-0.493830553077851,-4.79612075519333,1.48823882543163,-0.87261775097042,3,1,2,0,1,0,17,experiment_gam2,A,100
-0.493830616952803,0.105910233964612,-1.51820047521606,-0.680155022241586,1,3,2,0,1,0,18,experiment_gam2,A,100
-0.493830559824599,2.89942716402425,-0.46603741999342,-0.690414585205576,1,2,3,0,1,0,19,experiment_gam2,A,100
-0.493830604880772,-0.359944307701039,-0.37939850434146,0.806121262621725,2,3,1,0,1,0,20,experiment_gam2,A,100
-0.493830590188,-0.792770643949647,2.6173121274067,0.284787310818786,3,1,2,0,1,0,21,experiment_gam2,A,100
-0.493830592112821,0.0652810519985495,-1.77526883696193,-0.27376989181976,1,3,2,0,1,0,22,experiment_gam2,A,100
-0.493830583397188,0.243205777443548,-0.116752234854647,7.53772301416513,2,3,1,0,1,0,23,experiment_gam2,A,100
-0.493830578916082,-0.821806752262703,3.30914856914042,0.957927795705288,3,1,2,0,1,0,24,experiment_gam2,A,100
-0.493830573282128,0.669214326212608,-0.742705386659852,0.67019655134304,2,3,1,0,1,0,25,experiment_gam2,A,100
-0.493830602598609,-1.07489723783843,0.0993568402580804,-0.547943491665559,3,1,2,0,1,0,26,experiment_gam2,A,100
-0.493830576968036,1.98504961153018,0.286000326469496,-0.47880727452328,1,2,3,0,1,0,27,experiment_gam2,A,100
-0.493830598298975,-1.43511350285833,-1.72092168196703,1.14517167363093,2,3,1,0,1,0,28,experiment_gam2,A,100
-0.493830595828842,0.638625572195009,0.514145988102832,-3.24839443617483,1,2,3,0,1,0,29,experiment_gam2,A,100
-0.493830589823731,-0.415589661800577,-0.240002588547564,2.19426496111475,3,2,1,0,1,0,30,experiment_gam2,A,100
-0.493830589080269,2.6039751551278,-0.247282899569893,-0.0732303755875435,1,3,2,0,1,0,31,experiment_gam2,A,100
-0.493830613244274,-0.602249667077907,0.533806080836544,-5.12569125338382,2,1,3,0,1,0,32,experiment_gam2,A,100
