n_vars,n_test,n_train,correlation,model,n_batches,n_samples,n_cores,computer_name,approach,time
10,20,1000,0.5,xgboost,15,1000,16,Linuxjullum,independence,19.018
7,5,10000,0.5,xgboost,15,1000,16,Linuxjullum,independence,17.2810000000001
10,5,10000,0.5,xgboost,15,1000,16,Linuxjullum,independence,17.313
7,20,10000,0.5,xgboost,15,1000,16,Linuxjullum,independence,17.252
10,20,10000,0.5,xgboost,15,1000,16,Linuxjullum,independence,19.4219999999999
7,5,1000,0.5,xgboost,20,1000,16,Linuxjullum,independence,17.4250000000001
10,5,1000,0.5,xgboost,20,1000,16,Linuxjullum,independence,18.581
7,20,1000,0.5,xgboost,20,1000,16,Linuxjullum,independence,17.7429999999999
10,20,1000,0.5,xgboost,20,1000,16,Linuxjullum,independence,20.567
7,5,10000,0.5,xgboost,20,1000,16,Linuxjullum,independence,17.914
10,5,10000,0.5,xgboost,20,1000,16,Linuxjullum,independence,18.6229999999999
7,20,10000,0.5,xgboost,20,1000,16,Linuxjullum,independence,18.082
10,20,10000,0.5,xgboost,20,1000,16,Linuxjullum,independence,21.101
7,5,1000,0.5,xgboost,25,1000,16,Linuxjullum,independence,17.601
10,5,1000,0.5,xgboost,25,1000,16,Linuxjullum,independence,18.862
7,20,1000,0.5,xgboost,25,1000,16,Linuxjullum,independence,17.6900000000001
10,20,1000,0.5,xgboost,25,1000,16,Linuxjullum,independence,20.1369999999999
7,5,10000,0.5,xgboost,25,1000,16,Linuxjullum,independence,17.851
10,5,10000,0.5,xgboost,25,1000,16,Linuxjullum,independence,18.884
7,20,10000,0.5,xgboost,25,1000,16,Linuxjullum,independence,18.164
10,20,10000,0.5,xgboost,25,1000,16,Linuxjullum,independence,20.326
7,5,1000,0.5,xgboost,30,1000,16,Linuxjullum,independence,17.4019999999999
10,5,1000,0.5,xgboost,30,1000,16,Linuxjullum,independence,18.383
7,20,1000,0.5,xgboost,30,1000,16,Linuxjullum,independence,17.6800000000001
10,20,1000,0.5,xgboost,30,1000,16,Linuxjullum,independence,20.093
7,5,10000,0.5,xgboost,30,1000,16,Linuxjullum,independence,18.0639999999999
10,5,10000,0.5,xgboost,30,1000,16,Linuxjullum,independence,18.8049999999998
7,20,10000,0.5,xgboost,30,1000,16,Linuxjullum,independence,18.0949999999998
10,20,10000,0.5,xgboost,30,1000,16,Linuxjullum,independence,20.258
10,5,1000,0.5,xgboost,35,1000,16,Linuxjullum,independence,18.5549999999998
10,20,1000,0.5,xgboost,35,1000,16,Linuxjullum,independence,20.4689999999998
10,5,10000,0.5,xgboost,35,1000,16,Linuxjullum,independence,19.058
10,20,10000,0.5,xgboost,35,1000,16,Linuxjullum,independence,20.7539999999999
10,5,1000,0.5,xgboost,40,1000,16,Linuxjullum,independence,18.3909999999999
10,20,1000,0.5,xgboost,40,1000,16,Linuxjullum,independence,20.328
10,5,10000,0.5,xgboost,40,1000,16,Linuxjullum,independence,18.4879999999998
10,20,10000,0.5,xgboost,40,1000,16,Linuxjullum,independence,20.5920000000001
10,5,1000,0.5,xgboost,45,1000,16,Linuxjullum,independence,18.586
10,20,1000,0.5,xgboost,45,1000,16,Linuxjullum,independence,20.395
10,5,10000,0.5,xgboost,45,1000,16,Linuxjullum,independence,18.5129999999999
10,20,10000,0.5,xgboost,45,1000,16,Linuxjullum,independence,20.4090000000001
10,5,1000,0.5,xgboost,50,1000,16,Linuxjullum,independence,18.298
10,20,1000,0.5,xgboost,50,1000,16,Linuxjullum,independence,20.4580000000001
10,5,10000,0.5,xgboost,50,1000,16,Linuxjullum,independence,18.482
10,20,10000,0.5,xgboost,50,1000,16,Linuxjullum,independence,20.422
5,5,1000,0.5,xgboost,1,1000,32,Linuxjullum,independence,2.39700000000016
7,5,1000,0.5,xgboost,1,1000,32,Linuxjullum,independence,3.03700000000003
10,5,1000,0.5,xgboost,1,1000,32,Linuxjullum,independence,6.83500000000004
5,20,1000,0.5,xgboost,1,1000,32,Linuxjullum,independence,2.68499999999995
7,20,1000,0.5,xgboost,1,1000,32,Linuxjullum,independence,4.49699999999984
