rn,absmean_X1,absmean_X2,absmean_X3,absmean_total,abssd_X1,abssd_X2,abssd_X3,abssd_total,h_X_1,h_X_2,h_X_3,h_X_1_2,h_X_1_3,h_X_2_3,comp_time,true_model,fitted_model,variables,notes,rho,pi.G,sd_noise,nTrain,nTest,w_threshold,n_threshold,this.seed
empirical_sigma.01,0.10707755884437,0.0361057478610151,0.0940301772051234,0.0790711613035027,0.0819833204394061,0.0293784134619844,0.0754562969468079,0.0693762109743388,0.1,0.1,0.1,0.1,0.1,0.1,0.134000000005472,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,0.4,1,0.1,200,5,1,1000,123
empirical_AIC_each_k,0.0860344365300781,0.0239902572973739,0.065197769561108,0.0584074877961866,0.060750123550636,0.0170565189124878,0.0666009855125509,0.0558302813190457,0.891068165363364,0.891068165363364,0.891068165363364,0.460505509913063,0.460505509913063,0.460505509913063,0.672999999995227,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,0.4,1,0.1,200,5,1,1000,123
empirical_AIC_full,0.0843364318772608,0.0242104218563415,0.0763123612304207,0.061619738321341,0.0616523924292302,0.0158018714379569,0.0755804407324984,0.0595874927434052,0.706595983860111,1.09307686324969,17.1395109917106,0.643134275806368,0.395038720880149,0.406479485264226,0.903999999994994,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,0.4,1,0.1,200,5,1,1000,123
empirical_independence,0.159192584221343,0.0645397595480784,0.0974106185610554,0.107047654110159,0.128382877351921,0.0337413302621677,0.0929164176338708,0.0956596800331421,Inf,Inf,Inf,Inf,Inf,Inf,0.11699999999837,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,0.4,1,0.1,200,5,1,1000,123
Gaussian,0.019738518421231,0.0183924517791113,0.0260503309724044,0.0213937670575822,0.0146360412187627,0.00976595034677624,0.0288644680458305,0.0183966935342739,,,,,,,0.137000000002445,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,0.4,1,0.1,200,5,1,1000,123
copula,0.0130307407977454,0.0169818086933559,0.0265591701098498,0.0188572398669837,0.0112816042027407,0.0149623043168712,0.0265084580450996,0.0183211417336272,,,,,,,0.215000000011059,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,0.4,1,0.1,200,5,1,1000,123
treeSHAP,0.112634327402347,0.0466574985741259,0.0660320503799981,0.0751079587854902,0.0781875124017877,0.0199573101512931,0.0594041913343499,0.0607464889017864,,,,,,,0.00399999998626299,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,0.4,1,0.1,200,5,1,1000,123
